年度,地區別,蔬菜類別,種植面積,收穫面積,每公頃平均產量,產量
2021,南投縣,不結球白菜,0.16,0.16,12312.5,1.97
2021,雲林縣,不結球白菜,3157.92,3157.92,20941.61,66131.93
2021,嘉義縣,不結球白菜,2.19,2.19,13043.379,28.565
2021,屏東縣,不結球白菜,43.09,43.09,12250.893,527.891
2021,台東縣,不結球白菜,1.39,1.39,15698.561,21.821
2021,花蓮縣,不結球白菜,69.99,69.99,11252.15,787.538
2021,澎湖縣,不結球白菜,31.5,31.5,7218.286,227.376
2021,基隆市,不結球白菜,0.41,0.41,9965.854,4.086
2021,新竹市,不結球白菜,1,1,9300,9.3
2021,嘉義市,不結球白菜,-,-,-,-
2021,金門縣,不結球白菜,0.9,0.9,12433.333,11.19
2021,連江縣,不結球白菜,-,-,-,-
2021,新北市,甕菜,70.73,70.73,15598.586,1103.288
2021,台北市,甕菜,44.16,44.16,14018.727,619.067
2021,桃園市,甕菜,325.6,325.6,18078.897,5886.489
2021,台中市,甕菜,143.18,143.18,15087.98,2160.297
2021,台南市,甕菜,49.99,49.99,21739.948,1086.78
2021,高雄市,甕菜,75.48,75.48,13229.014,998.526
2021,宜蘭縣,甕菜,18.82,18.82,19648.99,369.794
